,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Full Address,LAT_LONG
0,0,0,0,"100 WEST 78 New York, NY 10024",
1,1,1,1,"1133 FIFTH AVENUE New York, NY 10128",
2,2,2,2,"135 WEST 79 STREET New York, NY 10024",
3,3,3,3,"4 BOND STREET                             New York, NY 10012",
4,4,4,4,"238 EAST 4TH   STREET                     New York, NY 10009",
5,5,5,5,"217 WEST 122 STREET                       New York, NY 10027",
6,6,6,6,"162 BOWERY New York, NY 10012",
7,7,7,7,"180 ORCHARD STREET                        New York, NY 10002",
8,8,8,8,"134 WEST 83RD   STREET                    New York, NY 10024",
9,9,9,9,"115 CROSBY STREET                         New York, NY 10012",
10,10,10,10,"350 EAST 82ND STREET                      New York, NY 10028",
11,11,11,11,"23 WEST 94TH   STREET                     New York, NY 10025",
12,12,12,12,"152 EAST 94TH   STREET New York, NY 10128",
13,13,13,13,"169 EAST 71ST   STREET                    New York, NY 10021",
14,14,14,14,"140 FULTON STREET New York, NY 10038",
15,15,15,15,"202 WEST 78TH STREET New York, NY 10024",
16,16,16,16,"47-53 3 AVENUE                            New York, NY 10003",
17,17,17,17,"150 EAST 69 New York, NY 10065",
18,18,18,18,"1018 MADISON AVE                          New York, NY 10075",
19,19,19,19,"252 SEVENTH AVENUE New York, NY 10001",
20,20,20,20,"120 EAST 81ST STREET New York, NY 10028",
21,21,21,21,"100 WEST 89TH STREET                      New York, NY 10024",
22,22,22,22,"118 RIVERSIDE DRIVE New York, NY 10024",
23,23,23,23,"51 WEST 82ND STREET New York, NY 10024",
24,24,24,24,"1125 PARK AVENUE New York, NY 10128",
25,25,25,25,"65 EAST SEVENTH STREET                    New York, NY 10003",
26,26,26,26,"175 WEST 92ND New York, NY 10025",
27,27,27,27,"200 EAST 78 STREET New York, NY 10075",
28,28,28,28,"359 WEST 122 STREET New York, NY 10027",
29,29,29,29,"199 BOWERY                                New York, NY 10002",
30,30,30,30,"45 EAST 72ND STREET New York, NY 10021",
31,31,31,31,"45 WEST 27TH   STREET                     New York, NY 10001",
32,32,32,32,"509 EAST 77TH STREET New York, NY 10075",
33,33,33,33,"10 EAST 78TH   STREET                     New York, NY 10075",
34,34,34,34,"145 WEST 129 STREET                       New York, NY 10027",
35,35,35,35,"109 WEST 27TH STREET                      New York, NY 10001",
36,36,36,36,"332 WEST 101ST STREET New York, NY 10025",
37,37,37,37,"500 MANHATTAN AVENUE                      New York, NY 10027",
38,38,38,38,"230 EAST 15TH   STREET New York, NY 10003",
39,39,39,39,"108 EAST 66TH   STREET New York, NY 10065",
40,40,40,40,"109 WEST 128TH STREET                     New York, NY 10027",
41,41,41,41,"531 EAST 87TH STREET New York, NY 10128",
42,42,42,42,"325 EAST 77TH   STREET New York, NY 10075",
43,43,43,43,"174 1 AVENUE                              New York, NY 10009",
44,44,44,44,"21 ASTOR PLACE New York, NY 10003",
45,45,45,45,"245 EAST 87 New York, NY 10128",
46,46,46,46,"614 EAST 9TH New York, NY 10009",
47,47,47,47,"237 EAST 88TH STREET                      New York, NY 10128",
48,48,48,48,"245 WEST 99TH   STREET New York, NY 10025",
49,49,49,49,"5 WEST 127 STREET                         New York, NY 10027",
50,50,50,50,"377 RECTOR PL                             New York, NY 10280",
51,51,51,51,"831 BROADWAY                              New York, NY 10003",
52,52,52,52,"137 WEST 25TH STREET                      New York, NY 10001",
53,53,53,53,"154 EAST BROADWAY New York, NY 10002",
54,54,54,54,"215 W 92 New York, NY 10025",
55,55,55,55,"41 RIVINGTON STREET                       New York, NY 10002",
56,56,56,56,"140 NASSAU STREET New York, NY 10038",
57,57,57,57,"353 EAST 19TH STREET                      New York, NY 10003",
58,58,58,58,"546 EAST 87TH   STREET                    New York, NY 10128",
59,59,59,59,"256 10TH AVENUE                           New York, NY 10001",
60,60,60,60,"13 GRAMERCY PARK SOUTH New York, NY 10003",
61,61,61,61,"84 FORSYTH STREET                         New York, NY 10002",
62,62,62,62,"508 EAST 78TH STREET New York, NY 10075",
63,63,63,63,"101 WEST 79TH   STREET                    New York, NY 10024",
64,64,64,64,"305 CHERRY STREET                         New York, NY 10002",
65,65,65,65,"117 EAST 10TH STREET New York, NY 10003",
66,66,66,66,"73 MONROE ST                              New York, NY 10002",
67,67,67,67,"485 CENTRAL PARK WEST New York, NY 10025",
68,68,68,68,"66 EAST 79TH   STREET New York, NY 10075",
